departure,arrival
"Cleveland, OH (CLE)","Sarasota, FL (SRQ)"
"Cleveland, OH (CLE)","Tampa, FL (TPA)"
"Cleveland, OH (CLE)","West Palm Beach, FL (PBI)"
"Columbus, OH (CMH)","Atlanta, GA (ATL)"
"Columbus, OH (CMH)","Denver, CO (DEN)"
"Columbus, OH (CMH)","Orlando, FL (MCO)"
Corpus Christi (CRP),"Denver, CO (DEN)"
"Dallas, TX (DFW)","Atlanta, GA (ATL)"
"Dallas, TX (DFW)","Baltimore, MD (BWI)"
"Dallas, TX (DFW)","Boston, MA (BOS)"
"Dallas, TX (DFW)","Cancun, MX (CUN)"
"Dallas, TX (DFW)","Charleston, SC (CHS)"
"Dallas, TX (DFW)","Charlotte, NC (CLT)"
"Dallas, TX (DFW)","Chicago, IL (MDW)"
"Dallas, TX (DFW)","Chicago, IL (ORD)"
"Dallas, TX (DFW)","Cincinnati, OH (CVG)"
"Dallas, TX (DFW)","Cleveland, OH (CLE)"
"Dallas, TX (DFW)","Denver, CO (DEN)"
"Dallas, TX (DFW)","Detroit, MI (DTW)"
"Dallas, TX (DFW)","El Paso, TX (ELP)"
"Dallas, TX (DFW)","Indianapolis, IN (IND)"
"Dallas, TX (DFW)","Las Vegas, NV (LAS)"
"Dallas, TX (DFW)","Los Angeles, CA (LAX)"
"Dallas, TX (DFW)","Miami, FL (MIA)"
"Dallas, TX (DFW)","Minneapolis/St. Paul, MN (MSP)"
"Dallas, TX (DFW)","New York City, NY (JFK)"
"Dallas, TX (DFW)","New York City, NY (LGA)"
"Dallas, TX (DFW)","Norfolk, VA (ORF)"
"Dallas, TX (DFW)","Ontario/LA, CA (ONT)"
"Dallas, TX (DFW)","Orlando, FL (MCO)"
"Dallas, TX (DFW)","Philadelphia, PA (PHL)"
"Dallas, TX (DFW)","Phoenix, AZ (PHX)"
"Dallas, TX (DFW)","Portland, OR (PDX)"
"Dallas, TX (DFW)","Raleigh, NC (RDU)"
"Dallas, TX (DFW)","Salt Lake City, UT (SLC)"
"Dallas, TX (DFW)","San Diego, CA (SAN)"
"Dallas, TX (DFW)","San Francisco, CA (SFO)"
"Dallas, TX (DFW)","San Juan, PR (SJU)"
"Dallas, TX (DFW)",San Salvador (SAL)
"Dallas, TX (DFW)","Seattle, WA (SEA)"
"Dallas, TX (DFW)","St. Louis, MO (STL)"
"Dallas, TX (DFW)","Tampa, FL (TPA)"
"Dallas, TX (DFW)","Tucson, AZ (TUS)"
"Denver, CO (DEN)","Atlanta, GA (ATL)"
"Denver, CO (DEN)","Austin, TX (AUS)"
"Denver, CO (DEN)","Baltimore, MD (BWI)"
"Denver, CO (DEN)","Bentonville/Fayetteville, AR  (XNA)"
"Denver, CO (DEN)","Boise, ID (BOI)"
"Denver, CO (DEN)","Buffalo, NY (BUF)"
"Denver, CO (DEN)",Burbank (BUR)
"Denver, CO (DEN)",Cabo San Lucas (SJD)
"Denver, CO (DEN)","Cancun, MX (CUN)"
"Denver, CO (DEN)","Cedar Rapids, IA (CID)"
"Denver, CO (DEN)","Charlotte, NC (CLT)"
"Denver, CO (DEN)","Chicago, IL (MDW)"
"Denver, CO (DEN)","Chicago, IL (ORD)"
"Denver, CO (DEN)","Cincinnati, OH (CVG)"
"Denver, CO (DEN)","Cleveland, OH (CLE)"
"Denver, CO (DEN)","Columbus, OH (CMH)"
"Denver, CO (DEN)",Corpus Christi (CRP)
"Denver, CO (DEN)","Dallas, TX (DFW)"
"Denver, CO (DEN)","Des Moines, IA (DSM)"
"Denver, CO (DEN)","Detroit, MI (DTW)"
"Denver, CO (DEN)","El Paso, TX (ELP)"
"Denver, CO (DEN)","Fargo, ND (FAR)"
"Denver, CO (DEN)","Fort Myers, FL (RSW)"
"Denver, CO (DEN)","Grand Rapids, MI (GRR)"
"Denver, CO (DEN)","Houston, TX (IAH)"
"Denver, CO (DEN)","Indianapolis, IN (IND)"
"Denver, CO (DEN)","Kansas City, MO (MCI)"
"Denver, CO (DEN)","Knoxville, TN (TYS)"
"Denver, CO (DEN)","Las Vegas, NV (LAS)"
"Denver, CO (DEN)","Little Rock, AR (LIT)"
"Denver, CO (DEN)","Los Angeles, CA (LAX)"
"Denver, CO (DEN)","Madison, WI (MSN)"
"Denver, CO (DEN)","Memphis, TN (MEM)"
"Denver, CO (DEN)","Miami, FL (MIA)"
"Denver, CO (DEN)","Milwaukee, WI (MKE)"
"Denver, CO (DEN)","Minneapolis/St. Paul, MN (MSP)"
"Denver, CO (DEN)","Nashville, TN (BNA)"
"Denver, CO (DEN)","New Orleans, LA (MSY)"
"Denver, CO (DEN)","New York City, NY (JFK)"
"Denver, CO (DEN)","New York City, NY (LGA)"
"Denver, CO (DEN)","Oklahoma City, OK (OKC)"
"Denver, CO (DEN)","Omaha, NE (OMA)"
"Denver, CO (DEN)","Ontario/LA, CA (ONT)"
"Denver, CO (DEN)","Orlando, FL (MCO)"
"Denver, CO (DEN)","Pensacola, FL (PNS)"
"Denver, CO (DEN)","Philadelphia, PA (PHL)"
"Denver, CO (DEN)","Phoenix, AZ (PHX)"
